pagina,codigo,texto
2,AEI ........................................,................. 43
7,OEI 01,]: MEJORAR EL CONTROL DEL CUMPLIMIENTO DE LAS OBLIGACIONES
7,OEI 02,]: FORTALECER LA FACILITACIÓN DE LAS OBLIGACIONES
7,OEI 03,]: FORTALECER LA GESTIÓN INSTITUCIONAL
9,AEI 01.01,I - de producto con acciones de control de
9,AEI 0,1.02 I - de producto
9,AEI 01.03,promoción del I – de producto
9,AEI 02.02,mercancías ágil para el I - de producto (DAM) de importación para el
10,AEI 03.01,desarrollo de las personas gestión interna Desarrollo de Talento ejecutado
10,AEI 03.02,aduaneras para las áreas
10,AEI 03.03,moderna de procesos cumplidos
10,AEI 03.04,gestión Institucional implementado gestión interna integridad implementadas
10,AEI 03.05,modernización tecnológica
10,AEI 03.06,disponibles gestión interna servicios críticos
10,AEI 03.07,de cultura tributaria y
10,AEI 03.08,de Gestión del Riesgo de
10,AEI 03.09,sistemas administrativos y relacionados a los procesos de
10,AEI 03.10,comunicación y la imagen Comunicación Institucional
12,AEI 01,".03 INER, INGP, IPCN"
12,AEI 02.01,tributaria - aduanera dependientes de la
13,AEI 03.0,"5 LIN 2.3, 2.4, INSI"
23,AEI 01.04,económicas fiscalizados fiscalizados con
23,AEI 01.02,nacional y N.° 30077 en aduaneras comercio exterior
24,AEI 01.,04 químicos y bienes
